Label,Count
2020-03-03,1.500
2020-03-04,1.222
2020-03-05,1.091
2020-03-06,1.250
2020-03-07,1.267
2020-03-08,1.158
2020-03-09,1.182
2020-03-10,1.154
2020-03-11,1.267
2020-03-12,1.079
2020-03-13,1.171
2020-03-14,1.188
2020-03-15,1.211
2020-03-16,1.261
2020-03-17,1.264
2020-03-18,1.364
2020-03-19,1.373
2020-03-20,1.238
2020-03-21,1.180
2020-03-22,1.375
2020-03-23,1.341
2020-03-24,1.405
2020-03-25,1.317
2020-03-26,1.261
2020-03-27,1.309
2020-03-28,1.310
2020-03-29,1.119
