Label,Count
2020-03-3,1.282
2020-03-4,1.316
2020-03-5,1.381
2020-03-6,1.528
2020-03-7,1.449
2020-03-8,1.328
2020-03-9,1.380
2020-03-10,1.493
2020-03-11,1.373
2020-03-12,1.320
2020-03-13,1.398
2020-03-14,1.332
2020-03-15,1.339
2020-03-16,1.307
2020-03-17,1.428
2020-03-18,1.528
2020-03-19,1.593
2020-03-20,1.491
2020-03-21,1.343
2020-03-22,1.482
2020-03-23,1.400
2020-03-24,1.327
2020-03-25,1.305
2020-03-26,1.313
2020-03-27,1.250
2020-03-28,1.215
2020-03-29,1.192
